Locus Tag	Description	dN/dS	dN	dS	%min5Xcov	%min1Xcov	avg read depth	dN/dS vs CC9311	dN/dS 70_70	dN/dS PAML
sync_1576	methyltransferase, UbiE/COQ5 family protein	0.067	0.02	0.292	100.0	100.0	13.98	0.066	0.066	0.0407320324590343
sync_1577	possible Copper binding proteins, plastocyanin	0.058	0.018	0.312	63.81	100.0	9.876	0.059	0.058	0.134224134248032
sync_1578	hypothetical protein	0.22	0.01	0.047	94.04	100.0	5.232	0.226	0.22	0.0
sync_1579	hypothetical protein	0.187	0.009	0.046	85.1	100.0	5.071	0.129	0.187	0.185142456281735
sync_1580	pmgA protein	0.104	0.014	0.132	73.96	100.0	5.951	0.114	0.104	0.221685806138498
sync_1581	GUN4-like family protein	0.104	0.014	0.136	100.0	100.0	12.429	0.108	0.106	0.112699299341679
sync_1582	Predicted ATPase	0.125	0.025	0.196	97.92	100.0	10.601	0.129	0.126	0.171212107628327
sync_1583	photosystem II reaction center protein PsbW	0.029	0.006	0.2	100.0	100.0	13.682	0.033	0.029	0.0207604955053985
sync_1584	hypothetical protein	0.087	0.014	0.163	99.26	100.0	8.558	0.097	0.091	0.12380356659049
sync_1585	Domain of unknown function, putative	0.107	0.014	0.135	100.0	100.0	9.7	0.104	0.107	0.105833346453326
sync_1586	Flavin reductase like domain, putative	0.072	0.012	0.165	100.0	100.0	11.414	0.069	0.072	0.307985739451253
sync_1587	hypothetical protein	0.303	0.051	0.169	98.35	100.0	10.591	0.275	0.303	1.33791976283188
sync_1588	protein-export membrane protein SecF	0.101	0.02	0.196	97.21	100.0	14.602	0.089	0.101	0.253318779247281
sync_1589	protein-export membrane protein SecD	0.09	0.022	0.245	100.0	100.0	16.795	0.097	0.088	0.0406096321632801
sync_1590	pyruvate dehydrogenase E1 beta subunit (EC:1.2.4.1 )	0.027	0.005	0.188	100.0	100.0	12.313	0.026	0.059	0.0463614030158631
sync_1591	hypothetical protein	0.032	0.005	0.161	100.0	100.0	9.323	0.031	0.032	NaN
sync_1592	Uncharacterized membrane protein	0.3	0.07	0.233	98.11	100.0	9.563	0.319	0.308	0.202819771191183
sync_1593	4-diphosphocytidyl-2C-methyl-D-erythritol kinase (EC:2.7.1.148 )	0.142	0.029	0.204	94.0	100.0	11.364	0.143	0.148	0.136182674667729
sync_1594	dimethyladenosine transferase (EC:2.1.1.- )	0.121	0.031	0.255	100.0	100.0	15.0	0.131	0.121	0.157478375664919
sync_1595	Possible phosphoribulokinase/uridine kinase family protein (EC:2.7.1.48 )	0.28	0.037	0.133	100.0	100.0	13.828	0.296	0.314	0.407901689549698
sync_1596	Uncharacterised protein family protein	0.255	0.049	0.19	94.94	100.0	11.789	0.282	0.255	0.512439364969012
sync_1597	hypothetical protein	0.225	0.038	0.168	100.0	100.0	13.08	0.229	0.225	0.182224608631235
sync_1598	pentapeptide repeat protein	0.033	0.005	0.148	100.0	100.0	20.143	0.038	0.033	0.117214685798978
sync_1599	hypothetical protein	0.149	0.045	0.304	100.0	100.0	17.847	0.151	0.152	0.235457804663529
sync_1600	hypothetical protein	0.27	0.019	0.071	99.33	100.0	15.651	0.251	0.312	0.283320768112833
sync_1601	hypothetical protein	0.206	0.039	0.188	99.42	100.0	18.645	0.206	0.204	0.219008778817267
sync_1602	hypothetical protein	0.271	0.036	0.134	100.0	100.0	11.821	0.251	0.271	0.890798501133534
sync_1603	hypothetical protein	Inf	0.063	0.0	15.9	38.97	1.333	Inf	Inf	NaN
sync_1604	GAF domain protein	0.049	0.012	0.242	60.98	84.39	9.504	0.074	0.049	0.048963813033541
sync_1605	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_1606	UmuD protein (EC:3.4.21.- )	0.1	0.013	0.125	100.0	100.0	16.381	0.135	0.1	0.0670108412277178
sync_1607	UmuC protein (EC:3.4.21.- )	0.119	0.015	0.125	100.0	100.0	18.999	0.122	0.119	0.0585223759129742
sync_1608	FAD-dependent monooxygenase, putative	0.648	0.031	0.048	9.24	83.47	2.341	0.651	0.648	0.149307965185027
sync_1609	Auxin Efflux Carrier superfamily protein	0.102	0.013	0.128	100.0	100.0	17.32	0.102	0.101	0.100939556450095
sync_1610	hypothetical protein	0.092	0.022	0.238	100.0	100.0	17.683	0.085	0.099	0.418951106219922
sync_1611	hypothetical protein	0.097	0.021	0.217	100.0	100.0	22.5	0.095	0.097	0.681231580559478
sync_1612	hypothetical protein	NaN	0.0	0.0	0.0	12.96	0.13	NaN	NaN	NaN
sync_1613	DNA primase (EC:2.7.7.- )	0.045	0.01	0.211	100.0	100.0	13.882	0.047	0.047	0.0604188594229735
sync_1614	Integral membrane protein, DUF6	0.122	0.016	0.127	98.83	100.0	9.508	0.111	0.129	0.157596886073172
sync_1615	hypothetical protein	0.197	0.043	0.218	100.0	100.0	14.0	0.19	0.252	0.387200886816085
sync_1616	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_1617	hypothetical protein	NaN	0.0	0.0	0.0	72.55	1.402	NaN	NaN	NaN
sync_1618	hypothetical protein	0.938	0.021	0.022	100.0	100.0	10.178	0.997	0.521	NaN
sync_1619	hypothetical protein	NaN	0.0	0.0	0.0	50.38	0.504	NaN	NaN	1.45273278393483
sync_1620	hypothetical protein	0.749	0.055	0.074	100.0	100.0	8.616	0.99	0.674	1.25468490878939
sync_1621	hypothetical protein	0.6	0.091	0.152	32.7	100.0	2.836	0.708	0.6	NaN
sync_1622	hypothetical protein	0.595	0.05	0.085	100.0	100.0	9.232	0.538	0.603	0.689674972154126
sync_1623	possible Kelch motif	0.228	0.045	0.197	100.0	100.0	11.596	0.214	0.249	2.07063197026022
sync_1624	hypothetical protein	NaN	0.0	0.0	0.0	88.89	0.889	NaN	NaN	NaN
sync_1625	hypothetical protein	NaN	0.0	0.0	0.0	48.76	0.975	NaN	NaN	NaN
sync_1626	hypothetical protein	1.944	0.075	0.038	54.84	98.92	3.946	2.208	1.944	NaN
sync_1627	Holliday junction DNA helicase RuvA	0.064	0.015	0.234	100.0	100.0	13.142	0.068	0.064	0.140239430286608
sync_1628	ribosomal protein S15	0.064	0.009	0.134	100.0	100.0	18.548	0.075	0.064	0.0186562518765897
sync_1629	hypothetical protein	0.1	0.02	0.196	100.0	100.0	14.124	0.082	0.1	0.228770673809063
sync_1630	DNA polymerase III, alpha subunit (EC:2.7.7.7 )	0.045	0.013	0.279	96.37	100.0	12.955	0.046	0.045	0.0365190859305657
sync_1631	glutamyl-tRNA(Gln) amidotransferase, A subunit (EC:6.3.5.- )	0.042	0.007	0.167	96.65	100.0	9.828	0.037	0.042	0.0297147799962312
sync_1632	hypothetical protein	0.026	0.004	0.148	100.0	100.0	15.199	0.024	0.026	0.236334613059166
sync_1633	RNA methyltransferase, TrmH family, group 3	0.188	0.03	0.159	75.31	97.8	6.689	0.186	0.182	0.279630418160298
sync_1634	putative RNase3 domain	0.088	0.013	0.145	100.0	100.0	9.103	0.096	0.09	0.0389653819571442
sync_1635	STAS domain protein	0.122	0.021	0.176	100.0	100.0	8.827	0.122	0.161	1.65013133033058
sync_1636	carbamoyl-phosphate synthase, small subunit (EC:6.3.5.5 )	0.088	0.014	0.162	82.54	100.0	7.974	0.087	0.088	0.0822936383394201
sync_1637	anthranilate phosphoribosyltransferase (EC:2.4.2.18 )	0.104	0.024	0.231	99.62	100.0	10.796	0.104	0.104	0.0841123552813813
sync_1638	heavy metal ABC transporter (HMT) family, permease/ATP-binding protein	0.063	0.016	0.254	98.97	100.0	9.918	0.071	0.063	0.072680009815095
sync_1639	hypothetical protein	0.065	0.011	0.173	100.0	100.0	11.27	0.076	0.065	0.0775894691906583
sync_1640	methionine-S-sulfoxide reductase (EC:1.8.4.6 )	0.087	0.02	0.234	100.0	100.0	13.519	0.087	0.086	0.062657003674702
sync_1641	hypothetical protein	0.145	0.022	0.155	100.0	100.0	17.241	0.143	0.145	0.0495810826575367
sync_1642	hypothetical protein	0.144	0.037	0.257	100.0	100.0	22.063	0.14	0.142	0.0580176547856626
sync_1644	hypothetical protein	0.205	0.042	0.204	100.0	100.0	15.0	0.182	0.194	0.0324602154116793
sync_1645	hypothetical protein	NaN	0.0	0.0	0.0	28.07	0.377	NaN	NaN	NaN
sync_1646	hypothetical protein	0.155	0.032	0.207	47.56	84.93	4.851	0.193	0.149	0.992674816086595
sync_1647	hypothetical protein	1.296	0.113	0.087	33.33	100.0	3.574	0.789	0.837	NaN
sync_1648	hypothetical protein	1.159	0.103	0.089	100.0	100.0	11.036	1.367	1.159	NaN
sync_1649	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_1650	peptidase M16B family, nonpeptidase homolog	0.16	0.039	0.245	100.0	100.0	17.829	0.153	0.16	0.121988242949458
sync_1651	peptidase, M16B family protein (EC:3.4.24.- )	0.102	0.021	0.205	100.0	100.0	14.799	0.106	0.104	0.1205974271103
sync_1652	hypothetical protein	NaN	0.0	0.0	0.0	57.78	0.578	NaN	NaN	NaN
sync_1653	hypothetical protein	NaN	0.0	0.0	0.0	11.68	0.117	NaN	NaN	NaN
sync_1654	hypothetical protein	NaN	0.0	0.0	0.0	70.14	0.971	NaN	NaN	0.221327967806841
sync_1655	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_1656	phycocyanobilin:ferredoxin oxidoreductase (EC:1.3.7.5 )	0.075	0.01	0.135	98.92	100.0	8.978	0.075	0.075	0.091227496210542
sync_1657	possible ABC transporter component	0.074	0.012	0.158	80.29	100.0	6.553	0.081	0.074	0.0675122523350759
sync_1658	ABC-transporter, membrane spanning component	0.025	0.003	0.114	83.63	100.0	7.436	0.027	0.025	0.0253991575905702
sync_1659	ABC transporter, ATP-binding component	0.102	0.013	0.125	100.0	100.0	11.546	0.098	0.102	0.183010331801443
sync_1660	hypothetical protein	0.0	0.0	0.142	100.0	100.0	15.558	0.0	0.0	0.0
sync_1661	glycosyl transferase, group 2 family protein (EC:2.4.1.- )	0.083	0.012	0.144	100.0	100.0	15.647	0.088	0.083	0.0805747194115437
sync_1662	conserved hypothetical protein TIGR00046	0.277	0.049	0.177	90.07	98.82	10.386	0.281	0.272	0.224404673024855
sync_1663	hypothetical protein	0.36	0.034	0.095	53.06	86.59	5.787	0.327	0.314	0.895969269231179
sync_1664	hypothetical protein	0.1	0.014	0.145	100.0	100.0	19.614	0.091	0.139	0.155412257233105
sync_1665	putative type III sigma factor	0.276	0.046	0.167	75.98	100.0	11.635	0.279	0.27	0.381165672420991
sync_1666	hypothetical protein	0.934	0.073	0.079	100.0	100.0	20.468	0.908	0.922	NaN
sync_1667	Arylesterase	0.078	0.006	0.082	100.0	100.0	15.181	0.073	0.076	0.83858521255814
sync_1668	ABC-type phosphate/phosphonate transport system permease component	0.153	0.011	0.069	96.08	100.0	10.375	0.175	0.153	0.115687007450601
sync_1669	phosphonates transport	0.11	0.005	0.048	82.02	100.0	10.463	0.107	0.11	0.336756360286999
sync_1670	ABC-type phosphate/phosphonate transport system periplasmic component	0.234	0.024	0.104	99.54	100.0	7.182	0.237	0.234	0.608259793649533
sync_1671	aspartate aminotransferase (EC:2.6.1.1 )	0.101	0.008	0.083	47.07	100.0	5.45	0.106	0.101	0.108840455946521
sync_1672	Lactoylglutathione lyase family enzyme, putative	0.164	0.013	0.078	27.14	100.0	3.85	0.209	0.164	0.16906936055987
sync_1673	Uracil-DNA glycosylase (EC:2.7.7.7 )	0.379	0.034	0.089	36.8	100.0	4.578	0.353	0.379	0.461626124800413
sync_1674	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (EC:1.17.4.3 )	0.032	0.006	0.19	100.0	100.0	9.769	0.034	0.035	0.0413762038048979
sync_1675	C-terminal processing peptidase (EC:3.4.21.102 )	0.053	0.008	0.156	100.0	100.0	12.026	0.07	0.062	0.0306482988175337
sync_1676	hypothetical protein	0.268	0.03	0.114	94.84	100.0	9.426	0.222	0.246	0.716387315533446
sync_1677	hypothetical protein	0.134	0.021	0.157	100.0	100.0	14.339	0.121	0.134	0.0882855595486995
sync_1678	hypothetical protein	0.0	0.0	0.176	100.0	100.0	13.964	0.015	0.0	0.174550009067827
sync_1679	transcription-repair coupling factor	0.042	0.009	0.217	97.77	100.0	14.12	0.04	0.045	0.102738644806645
sync_1680	hypothetical protein	0.096	0.022	0.234	100.0	100.0	15.107	0.121	0.092	0.216088660006624
sync_1681	hypothetical protein	0.198	0.033	0.168	26.88	81.9	2.609	0.251	0.194	0.152938339449566
sync_1682	hypothetical protein	NaN	0.0	0.0	0.0	97.58	1.42	NaN	NaN	NaN
sync_1683	ribulose-phosphate 3-epimerase (EC:5.1.3.1 )	0.027	0.004	0.169	59.97	94.05	8.99	0.025	0.028	0.239409809649638
sync_1684	ribulose-phosphate 3-epimerase (EC:5.1.3.1 )	0.11	0.006	0.051	97.96	100.0	12.97	0.107	0.11	0.0303449160118008
sync_1685	fructose-1,6-bisphosphatase, class II (EC:3.1.3.11 )	0.037	0.004	0.119	87.15	100.0	9.177	0.039	0.037	0.044185841276803
sync_1686	glutamyl-tRNA reductase (EC:1.2.1.- )	0.024	0.004	0.168	97.34	100.0	11.291	0.029	0.024	0.0303691873683659
sync_1687	glucose-1-phosphate adenylyltransferase (EC:2.7.7.27 )	0.047	0.009	0.196	99.38	100.0	10.258	0.043	0.046	0.0235096042826337
sync_1688	6-phosphogluconate dehydrogenase, decarboxylating (EC:1.1.1.44 )	0.039	0.009	0.221	98.87	100.0	13.478	0.039	0.039	0.0269662966504453
sync_1689	6-phosphogluconolactonase (EC:3.1.1.31 )	0.096	0.02	0.212	100.0	100.0	13.84	0.094	0.096	0.0590986236788154
sync_1690	hypothetical protein	0.12	0.024	0.199	100.0	100.0	15.424	0.122	0.12	0.193092248568467
sync_1691	hypothetical protein	0.193	0.026	0.134	89.58	100.0	11.828	0.202	0.158	0.212801084299278
sync_1692	dihydroxy-acid dehydratase (EC:4.2.1.9 )	0.04	0.009	0.23	98.09	100.0	12.143	0.045	0.039	0.0779243090550228
sync_1693	Uncharacterized membrane protein	0.032	0.005	0.151	100.0	100.0	16.137	0.032	0.032	0.00386313465783664
sync_1694	uracil phosphoribosyltransferase (EC:2.4.2.9 )	0.104	0.017	0.159	100.0	100.0	15.151	0.106	0.104	0.129490958396188
sync_1695	Secreted pentapeptide repeats protein	0.086	0.018	0.211	100.0	100.0	8.896	0.074	0.086	0.183547527263191
sync_1696	cobalamin biosynthesis protein CobW	0.081	0.018	0.221	95.54	100.0	10.64	0.085	0.083	0.0472329726071109
sync_1697	hypothetical protein	0.101	0.016	0.156	97.79	100.0	9.109	0.09	0.108	0.523767929073301
sync_1698	hypothetical protein	0.22	0.033	0.15	100.0	100.0	10.166	0.276	0.22	0.308656045858918
sync_1699	hypothetical protein	0.157	0.025	0.157	92.7	100.0	11.0	0.149	0.167	0.0198872068863164
sync_1700	phosphoribosylformylglycinamidine synthase, PurS protein (EC:6.3.5.3 )	0.023	0.008	0.332	100.0	100.0	16.392	0.029	0.023	0.0
sync_1701	phosphoribosylformylglycinamidine synthase I (EC:6.3.5.3 )	0.089	0.025	0.276	87.56	100.0	9.931	0.091	0.117	0.0898779945427037
sync_1702	Uncharacterized protein family protein	0.168	0.031	0.184	93.78	100.0	14.426	0.172	0.168	0.218769091242552
sync_1703	fructose-bisphosphate aldolase, class II, Calvin cycle subtype (EC:4.1.2.13 )	0.037	0.007	0.184	100.0	100.0	17.46	0.036	0.037	0.0841513164385519
sync_1704	Fructose-bisphosphate aldolase class-I (EC:4.1.2.13 )	0.058	0.008	0.143	100.0	100.0	17.604	0.059	0.081	0.126865284512032
sync_1705	oxidoreductase, NAD-binding	0.122	0.023	0.185	100.0	100.0	14.136	0.105	0.122	0.191741782920576
sync_1706	hypothetical protein	0.124	0.022	0.173	100.0	100.0	17.774	0.161	0.124	0.189174772806809
sync_1707	acetyl-CoA carboxylase, carboxyl transferase, beta subunit (EC:6.4.1.2 )	0.048	0.007	0.14	100.0	100.0	12.719	0.049	0.048	0.0526526735623885
sync_1708	hypothetical protein	0.52	0.041	0.079	97.01	100.0	5.99	0.618	0.472	0.0
sync_1709	prepilin peptidase (EC:3.4.23.43 )	0.134	0.025	0.187	99.88	100.0	10.6	0.144	0.133	0.208485981935996
sync_1710	hypothetical protein	0.11	0.016	0.144	100.0	100.0	9.836	0.123	0.11	0.0994534171952857
sync_1711	phosphoribulokinase (EC:2.7.1.19 )	0.028	0.003	0.119	100.0	100.0	13.85	0.028	0.028	0.0853828473429179
sync_1712	3-isopropylmalate dehydrogenase (EC:1.1.1.85 )	0.077	0.015	0.198	90.41	100.0	11.972	0.067	0.077	0.0242002108926107
sync_1713	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC:2.3.1.- )	0.059	0.01	0.168	84.9	100.0	7.933	0.058	0.059	0.114868374707772
sync_1714	glutamate 5-kinase (EC:2.7.2.11 )	0.062	0.009	0.141	64.78	94.09	5.972	0.059	0.062	0.250138627124562
sync_1715	phosphatase, HAD superfamily, subfamily IIIA (EC:3.1.3.- )	0.083	0.009	0.113	80.2	100.0	5.855	0.084	0.083	0.0242623936367
sync_1716	hypothetical protein	0.021	0.003	0.149	79.85	100.0	6.24	0.021	0.021	0.0167420969968203
sync_1717	Predicted endonuclease (EC:3.1.- )	0.203	0.028	0.136	50.1	100.0	4.501	0.203	0.203	0.092663131754513
sync_1718	hypothetical protein	0.188	0.029	0.155	62.88	97.67	5.383	0.178	0.188	0.18568234054733
sync_1719	Uncharacterized conserved protein with a signal peptide	0.082	0.01	0.119	65.55	100.0	6.011	0.096	0.086	0.105344207125009
sync_1720	hypothetical protein	0.149	0.016	0.106	78.92	100.0	8.38	0.142	0.149	0.241686579221225
sync_1721	CheY-like domain containing protein	0.091	0.014	0.158	92.75	100.0	8.931	0.096	0.091	0.187097915036215
sync_1722	transcriptional regulator, Fur family protein	0.036	0.007	0.198	90.51	100.0	6.713	0.035	0.036	0.269112903337887
sync_1723	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC:5.3.1.16 )	0.09	0.017	0.191	89.49	100.0	7.717	0.089	0.087	0.448521427156827
sync_1724	Possible nucleotide sugar epimerase (EC:4.2.1.46 )	0.156	0.02	0.129	80.27	100.0	6.958	0.163	0.159	0.175988154944281
sync_1725	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC:2.7.8.5 )	0.135	0.017	0.123	38.25	93.81	3.787	0.195	0.12	0.147611019757732
sync_1726	CBS domain protein	0.059	0.009	0.15	100.0	100.0	10.117	0.062	0.059	0.0568920550336732
sync_1727	hypothetical protein	0.132	0.023	0.177	100.0	100.0	14.423	0.131	0.132	0.212773652010709
sync_1728	ATP synthase (EC:1.3.99.- )	0.219	0.034	0.153	100.0	100.0	14.064	0.225	0.219	0.258539311820016
sync_1729	hypothetical protein	0.151	0.022	0.146	100.0	100.0	9.756	0.141	0.151	0.261829596750652
sync_1730	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_1731	Proline-rich region	0.158	0.033	0.206	96.97	100.0	20.661	0.153	0.155	0.166206519774041
sync_1732	Serine/threonine specific protein phosphatase	0.259	0.054	0.209	100.0	100.0	22.379	0.258	0.263	0.252677484568572
sync_1733	hypothetical protein	0.563	0.052	0.092	100.0	100.0	18.764	0.603	0.563	0.49542814869062
sync_1734	possible ligand gated channel (GIC family)	0.154	0.055	0.36	100.0	100.0	20.893	0.173	0.154	0.0622362404312035
sync_1735	possible Helix-turn-helix protein, copG family-related protein	0.073	0.03	0.404	100.0	100.0	33.143	0.083	0.072	0.292455843760917
sync_1736	Protein containing glutaredoxin domain and PD1-like DNA-binding domain	0.225	0.07	0.31	100.0	100.0	33.716	0.243	0.226	0.403833427285649
sync_1737	hypothetical protein	0.227	0.07	0.307	100.0	100.0	36.855	0.229	0.228	0.233019942721065
sync_1738	hypothetical protein	0.217	0.052	0.241	100.0	100.0	17.416	0.191	0.224	0.121226053503999
sync_1739	hypothetical protein	0.118	0.045	0.379	100.0	100.0	40.774	0.107	0.116	0.436847298927763
sync_1740	hypothetical protein	0.015	0.004	0.26	100.0	100.0	24.171	0.015	0.04	NaN
sync_1741	hypothetical protein	NaN	0.0	0.0	0.0	74.3	1.921	NaN	0.53	0.0
sync_1742	Cytochrome c, class IC:Cytochrome c, class I	0.249	0.045	0.18	100.0	100.0	16.036	0.241	0.275	0.508922002008466
sync_1743	putative lipoprotein	0.184	0.056	0.306	100.0	100.0	35.167	0.193	0.186	0.156273786808538
sync_1744	hypothetical protein	0.32	0.053	0.165	100.0	100.0	37.656	0.332	0.468	0.571860023732809
sync_1745	possible tRNA synthetases class I	0.213	0.054	0.253	81.31	100.0	22.059	0.248	0.374	0.0563659564077825
sync_1746	hypothetical protein	NaN	0.0	0.0	0.0	55.8	0.723	NaN	0.137	NaN
sync_1747	ABC transporter, substrate binding protein, possibly Mn	0.096	0.024	0.25	88.35	94.87	16.891	0.1	0.096	0.109332104226044
sync_1748	ABC transporter component, possibly Mn transport	0.094	0.017	0.183	99.36	100.0	19.754	0.091	0.094	0.0550788437759105
sync_1749	ABC transporter, ATP binding domain, possibly Mn transport	0.189	0.042	0.222	100.0	100.0	25.054	0.171	0.189	0.287348444840343
sync_1750	hypothetical protein	0.152	0.032	0.212	100.0	100.0	22.588	0.153	0.152	0.205334060093052
sync_1751	hypothetical protein	0.155	0.032	0.203	100.0	100.0	24.993	0.156	0.155	0.130771186482973
sync_1752	putative permease	0.064	0.014	0.213	100.0	100.0	26.339	0.067	0.066	0.084410962807269
sync_1753	Cytochrome c, class IC:Cytochrome c, class I	0.09	0.025	0.281	100.0	100.0	30.33	0.094	0.09	0.0432257390798938
sync_1754	hypothetical protein	0.46	0.074	0.162	19.27	66.19	3.06	0.457	0.511	NaN
sync_1755	hypothetical protein	0.268	0.045	0.169	87.81	100.0	16.229	0.273	0.289	0.118293029417526
sync_1756	ABC transporter component, possibly Mn transport	0.069	0.024	0.352	100.0	100.0	42.83	0.075	0.084	0.120673327534937
sync_1757	iron chelate ABC transporter (FeCT) family, ATP-binding protein	0.058	0.017	0.296	100.0	100.0	42.75	0.055	0.058	0.131792010949293
sync_1758	cation ABC transporter, cation-binding protein	0.15	0.043	0.288	100.0	100.0	29.108	0.151	0.177	0.0570459961537105
sync_1759	hypothetical protein	0.212	0.07	0.332	100.0	100.0	23.66	0.203	0.215	0.138698018694824
sync_1760	hypothetical protein	NaN	0.0	0.0	4.98	100.0	2.716	NaN	0.264	0.0
sync_1761	hypothetical protein	1.853	0.138	0.074	93.01	100.0	10.839	1.367	1.9	NaN
sync_1762	hypothetical protein	0.046	0.012	0.255	100.0	100.0	27.346	0.057	0.046	0.00272612003381234
sync_1763	hypothetical protein	0.319	0.086	0.269	100.0	100.0	15.263	0.232	0.264	0.179421263904325
sync_1764	hypothetical protein	0.237	0.07	0.295	88.7	100.0	22.099	0.235	0.243	0.22415089825843
sync_1765	possible Protein of unknown function DUF131	0.205	0.035	0.169	100.0	100.0	23.434	0.216	0.205	0.205045485938156
sync_1766	hypothetical protein	0.189	0.038	0.199	100.0	100.0	14.542	0.172	0.194	0.114718566940377
sync_1767	Predicted membrane protein	0.065	0.011	0.173	100.0	100.0	15.487	0.061	0.064	0.070869947868664
sync_1768	hypothetical protein	0.268	0.044	0.163	100.0	100.0	17.343	0.263	0.268	0.367358325932605
sync_1769	hypothetical protein	0.381	0.05	0.132	97.81	100.0	15.232	0.37	0.381	0.0
sync_1770	glycosyl transferase, group 2 family protein (EC:2.4.1.- )	0.21	0.051	0.242	100.0	100.0	24.018	0.224	0.21	0.226242837790507
sync_1771	Copper/zinc superoxide dismutase	0.087	0.02	0.235	100.0	100.0	23.824	0.093	0.087	0.160031334025017
sync_1772	hypothetical protein	0.234	0.051	0.216	100.0	100.0	28.353	0.253	0.242	0.296402522278606
sync_1773	hypothetical protein	0.116	0.019	0.166	100.0	100.0	25.712	0.1	0.116	1.16730481598119
sync_1774	Uncharacterized membrane protein	0.068	0.015	0.22	100.0	100.0	15.257	0.069	0.076	0.299865319458737
sync_1775	Steroid 5-alpha reductase, C-terminal domain, putative	0.21	0.066	0.312	55.24	86.19	6.665	0.198	0.209	0.249850323357077
sync_1776	hypothetical protein	0.254	0.072	0.281	100.0	100.0	18.491	0.223	0.254	0.341641196063078
sync_1777	hypothetical protein	0.205	0.066	0.321	100.0	100.0	35.956	0.217	0.205	0.172463232509969
sync_1778	hypothetical protein	0.881	0.203	0.231	100.0	100.0	47.683	1.013	0.881	1.35119099938472
sync_1779	hypothetical protein	0.17	0.048	0.28	100.0	100.0	35.905	0.189	0.162	0.109847361398125
sync_1780	AbrB family transciptional regulator	0.094	0.031	0.327	100.0	100.0	52.339	0.098	0.098	0.0791057067250878
sync_1781	hypothetical protein	0.02	0.007	0.339	100.0	100.0	31.605	0.032	0.025	0.0148172019823705
sync_1782	hypothetical protein	3.235	0.148	0.046	100.0	100.0	35.283	4.079	3.24	1.98843659768918
sync_1783	hypothetical protein	0.256	0.097	0.38	100.0	100.0	58.962	0.244	0.256	0.496318512908833
sync_1784	hypothetical protein	2.29	0.095	0.042	93.16	100.0	6.65	1.442	2.16	0.548094284494928
sync_1785	hypothetical protein	0.201	0.037	0.186	74.54	100.0	6.569	0.214	0.357	0.0327849860982391
sync_1786	hypothetical protein	0.18	0.068	0.377	100.0	100.0	31.421	0.171	0.203	0.456290847336557
sync_1787	hypothetical protein	0.039	0.014	0.355	97.08	100.0	17.108	0.044	0.049	0.00556304138594803
sync_1788	hypothetical protein	0.195	0.075	0.384	76.5	100.0	6.432	0.259	0.209	0.319736151088041
sync_1789	hypothetical protein	0.173	0.053	0.304	100.0	100.0	31.308	0.167	0.167	0.550426937756477
sync_1790	hypothetical protein	0.015	0.005	0.317	100.0	100.0	28.503	0.008	0.015	0.0398852031665568
sync_1791	hypothetical protein	1.678	0.052	0.031	100.0	100.0	18.893	1.803	1.678	1.43566049936798
sync_1792	hypothetical protein	0.139	0.045	0.325	100.0	100.0	40.132	0.122	0.175	0.288662313126674
sync_1793	hypothetical protein	0.123	0.047	0.379	100.0	100.0	28.545	0.126	0.133	0.0996601166489945
sync_1794	hypothetical protein	0.052	0.014	0.27	100.0	100.0	25.776	0.05	0.051	0.140987310339545
sync_1795	hypothetical protein	0.197	0.067	0.342	100.0	100.0	36.992	0.189	0.198	0.221570084258723
sync_1796	hypothetical protein	7.256	0.112	0.015	100.0	100.0	13.049	2.01	7.256	NaN
sync_1797	hypothetical protein	1.258	0.097	0.077	33.33	100.0	4.022	1.406	1.314	NaN
sync_1798	transporter, stomatin/podocin/band 7/nephrosis.2/SPFH (Stomatin) family protein	0.032	0.009	0.27	100.0	100.0	26.483	0.038	0.042	0.0150392211469413
sync_1799	hypothetical protein	0.44	0.056	0.128	100.0	100.0	20.038	0.459	0.44	2.72422394678492
sync_1800	hypothetical protein	0.188	0.054	0.288	100.0	100.0	15.88	0.218	0.188	0.382330113532
sync_1801	hypothetical protein	0.183	0.026	0.141	40.56	87.78	4.206	0.173	0.183	0.133647938139965
sync_1802	oxidoreductase yneD , putative	0.297	0.05	0.168	78.88	100.0	16.899	0.392	0.32	0.281103097853282
sync_1803	carotenoid binding protein	0.067	0.018	0.27	100.0	100.0	29.319	0.069	0.067	0.0909640579244871
sync_1804	possible beta-carotene ketolase (EC:1.13.- )	0.163	0.036	0.219	90.16	100.0	19.11	0.154	0.162	0.257432878050189
sync_1805	hypothetical protein	0.048	0.013	0.277	97.9	100.0	20.444	0.063	0.07	0.0748143270621965
sync_1806	hypothetical protein	0.191	0.066	0.346	100.0	100.0	28.5	0.204	0.196	1.24454688178508
