Entry	Gene Names	InterPro	Pfam	Protein names
B5YP13	THAPS_23330	IPR024079;	PF13582;	Uncharacterized protein
B5YP14	THAPS_6620			Uncharacterized protein
B5YP16	THAPS_23332	IPR006597;IPR050767;IPR011990;	PF08238;	Uncharacterized protein
B5YP18	THAPS_6625	IPR009959;IPR032710;	PF07366;	SnoaL-like domain-containing protein
B5YP19	THAPS_6626			WAP domain-containing protein
B5YP20	THAPS_6627			Uncharacterized protein
B5YP21	THAPS_6628			Uncharacterized protein
B5YP22	THAPS_6629			F-box domain-containing protein
B5YP23	THAPS_6630			Uncharacterized protein
B5YP24	THAPS_263048			Uncharacterized protein
B5YP25	THAPS_35314	IPR000889;IPR029760;IPR036249;	PF00255;	Glutathione peroxidase
B5YP26	THAPS_6633	IPR004942;	PF03259;	Roadblock/LAMTOR2 domain-containing protein
B5YP27	THAPS_23334	IPR053337;IPR049804;IPR013783;IPR006970;	PF04886;	Uncharacterized protein
B5YP28	THAPS_6635			Uncharacterized protein
B5YP30	THAPS_6637	IPR004942;	PF03259;	Roadblock/LAMTOR2 domain-containing protein
B5YP31	THAPS_6638	IPR002110;IPR036770;	PF13637;	Uncharacterized protein
B5YP32	THAPS_6639			Uncharacterized protein
B5YP33	THAPS_6640			Uncharacterized protein
B5YP34	THAPS_35713	IPR007248;	PF04117;	Uncharacterized protein
B5YP35	THAPS_6642	IPR011045;		Glucose/Sorbosone dehydrogenase domain-containing protein
B5YP37	THAPS_15007	IPR011989;IPR016024;IPR033133;IPR001313;	PF00806;	PUM-HD domain-containing protein
B5YP38	THAPS_263053	IPR001251;IPR036865;IPR051064;	PF00650;	Sec14-like protein
B5YP39	THAPS_17039	IPR008927;IPR013328;IPR006115;IPR029154;IPR036291;	PF14833;PF03446;	3-hydroxyisobutyrate dehydrogenase
B5YP40	THAPS_6645			Uncharacterized protein
B5YP42	THAPS_23336	IPR039191;IPR007718;	PF05022;	Srp40 C-terminal domain-containing protein
B5YP43	THAPS_6648	IPR036770;		Uncharacterized protein
B5YP44	THAPS_13175	IPR003593;IPR011527;IPR036640;IPR003439;IPR017871;IPR050835;IPR027417;	PF06472;PF00005;	ABC transporter, ATP binding protein
B5YP45	THAPS_6651	IPR044845;		Uncharacterized protein
B5YP46	THAPS_6652			Uncharacterized protein
B5YP48	THAPS_23338			Uncharacterized protein
B5YP51	THAPS_6657			Uncharacterized protein
B5YP52	THAPS_6658	IPR010699;	PF06912;	DUF1275 domain-containing protein
B5YP53	THAPS_6659	IPR011990;IPR019734;		Uncharacterized protein
B5YP55	THAPS_6661			Uncharacterized protein
B5YP57	THAPS_6663	IPR027012;IPR052102;	PF13864;	Enkurin domain-containing protein
B5YP58	THAPS_6664			Uncharacterized protein
B5YP60	THAPS_23340	IPR001849;		PH domain-containing protein
B5YP62	THAPS_6668			Uncharacterized protein
B5YP63	THAPS_23341			Uncharacterized protein
B5YP65	THAPS_35501	IPR014001;IPR001650;IPR027417;IPR038718;IPR049730;IPR000330;	PF00271;PF00176;	Uncharacterized protein
B5YP66	THAPS_6672			Uncharacterized protein
B5YP68	THAPS_23343	IPR041698;IPR029063;	PF13649;	SAM domain-containing protein
B5YP69	THAPS_23344			Uncharacterized protein
B5YP70	THAPS_23345			Uncharacterized protein
B5YP71	THAPS_263061	IPR001189;IPR019831;IPR036324;	PF00081;	superoxide dismutase (EC 1.15.1.1)
B5YP74	THAPS_23346	IPR036452;		Inosine/uridine-preferring nucleoside hydrolase domain-containing protein
B5YP75	THAPS_6680			Uncharacterized protein
B5YP76	THAPS_6681	IPR023296;		Uncharacterized protein
B5YP77	THAPS_35373	IPR004147;IPR011009;IPR000719;IPR050154;	PF03109;	Protein kinase domain-containing protein
B5YP81	THAPS_6686			Uncharacterized protein
B5YP82	THAPS_23347			Uncharacterized protein
B5YP83	THAPS_269199	IPR029045;IPR001753;	PF00378;	Enoyl-CoA hydratase
B5YP84	THAPS_263067	IPR011009;IPR000719;IPR047173;	PF00069;	Protein kinase MAPKKKK, MAP4K-like protein
B5YP85	THAPS_23350	IPR013320;IPR051136;IPR056573;IPR019825;IPR001220;	PF00139;	Legume lectin domain-containing protein
B5YP86	THAPS_6692	IPR045005;IPR000210;IPR002083;IPR003034;IPR011333;IPR008974;	PF00651;	BTB domain-containing protein
B5YP87	THAPS_6693	IPR001214;IPR046341;IPR050600;	PF00856;	SET domain-containing protein
B5YP89	THAPS_19298	IPR001469;IPR020546;IPR036771;	PF02823;	F-type H-ATPase delta subunit (EC 3.6.3.14)
B5YP90	THAPS_23354	IPR011989;IPR016024;IPR012959;IPR040059;IPR001313;	PF08144;	RNA-binding protein of the pumilio family
B5YP91	THAPS_6698			Uncharacterized protein
B5YP92	THAPS_6699			Uncharacterized protein
B5YP93	THAPS_263072	IPR043519;IPR002646;	PF01743;	Poly A polymerase head domain-containing protein
B5YP94	THAPS_6701			Uncharacterized protein
B5YP96	THAPS_6703	IPR000644;IPR046342;IPR051257;	PF00571;	CBS domain-containing protein
B5YP99	THAPS_6706	IPR009071;IPR036910;		HMG box domain-containing protein
B5YPA0	THAPS_35668	IPR036291;IPR020904;IPR002347;	PF00106;	Uncharacterized protein
B5YPA2	THAPS_263074	IPR011012;IPR010908;IPR001388;IPR051097;IPR042855;	PF13774;PF00957;	Synaptobrevin
B5YPA3	THAPS_6710	IPR027417;		Uncharacterized protein
B5YPA4	THAPS_6711			Uncharacterized protein
B5YPA5	THAPS_23357	IPR044999;IPR036412;IPR006439;IPR023214;IPR023198;	PF00702;	Possibly a phosphatase from the CbbY protein family
B5YPA6	THAPS_35408	IPR029063;IPR010233;	PF13489;	3-demethylubiquinol 3-O-methyltransferase
B5YPA7	THAPS_6714	IPR049227;	PF20710;	DUF6824 domain-containing protein
B5YPA8	THAPS_6715	IPR010869;IPR014917;	PF07394;PF08811;	DUF1501 domain-containing protein
B5YPA9	THAPS_6716	IPR000462;IPR043130;IPR048254;IPR014472;	PF01066;	Ethanolaminephosphotransferase
B5YPB0	THAPS_23359			Uncharacterized protein
B5YPB1	THAPS_6718	IPR053159;		Uncharacterized protein
B8BPV5	THAPSDRAFT_1060	IPR052355;IPR006913;IPR011057;	PF04828;	CENP-V/GFA domain-containing protein
B8BPV7	THAPSDRAFT_20643	IPR048682;		Uncharacterized protein
B8BPV8	THAPSDRAFT_1063			Uncharacterized protein
B8BPV9	THAPSDRAFT_20644			Uncharacterized protein
B8BPW1	THAPSDRAFT_20647	IPR007052;IPR008978;IPR037898;IPR025934;	PF04969;PF14050;	CS domain-containing protein
B8BPW2	THAPSDRAFT_20648			Uncharacterized protein
B8BPW3	THAPSDRAFT_1069	IPR003734;IPR051624;	PF02582;	DUF155 domain-containing protein
B8BPW4	THAPSDRAFT_20649			Uncharacterized protein
B8BPW5	THAPSDRAFT_1071			Plastid lipid-associated protein/fibrillin conserved domain-containing protein
B8BPW8	THAPSDRAFT_1075	IPR003690;IPR038538;	PF02536;	Uncharacterized protein
B8BPX0	THAPSDRAFT_1077			Uncharacterized protein
B8BPX2	THAPSDRAFT_1079			Uncharacterized protein
B8BPX4	THAPSDRAFT_1081			MBD domain-containing protein
B8BPX8	THAPSDRAFT_1086	IPR051292;	PF13896;	Uncharacterized protein
B8BPX9	THAPSDRAFT_267957	IPR038837;		Translation elongation factor ef-1 alpha
B8BPY0	THAPSDRAFT_1088	IPR036339;IPR018997;IPR011011;	PF09409;	PUB domain-containing protein
B8BPY2	THAPSDRAFT_20659			CID domain-containing protein
B8BPY3	THAPSDRAFT_260812	IPR002123;	PF01553;	Lysophosphatidic acid acyltransferase-like protein (EC 2.3.1.51)
B8BPY4	THAPSDRAFT_1091	IPR051559;IPR006620;IPR044862;	PF13640;	Prolyl 4-hydroxylase alpha subunit domain-containing protein
B8BPY7	THAPSDRAFT_1094			Uncharacterized protein
B8BPY9	THAPSDRAFT_20661	IPR001374;IPR036867;	PF01424;	R3H domain-containing protein
B8BPZ2	THAPSDRAFT_20664			Uncharacterized protein
B8BPZ3	THAPSDRAFT_20665	IPR029058;IPR050955;		Peptidase S9 prolyl oligopeptidase catalytic domain-containing protein
B8BPZ4	THAPSDRAFT_1101	IPR027417;		Sulfotransferase domain-containing protein
B8BPZ5	THAPSDRAFT_1102	IPR027417;		Sulfotransferase domain-containing protein
B8BPZ6	THAPSDRAFT_20666	IPR000195;IPR035969;IPR050302;	PF00566;	Rab-GAP TBC domain-containing protein
B8BPZ9	THAPSDRAFT_20670			Folate receptor-like domain-containing protein
B8BQ00	THAPSDRAFT_20671			Uncharacterized protein
B8BQ01	THAPSDRAFT_1109			Uncharacterized protein
B8BQ03	THAPSDRAFT_1111	IPR036224;IPR010492;IPR038437;		DNA replication complex GINS protein PSF3
B8BQ04	THAPSDRAFT_20673			Uncharacterized protein
B8BQ07	THAPSDRAFT_31627	IPR020103;IPR006224;IPR006145;IPR050188;	PF00849;	Pseudouridine synthase RsuA/RluA-like domain-containing protein
B8BQ08	THAPSDRAFT_1116	IPR019410;IPR029063;	PF10294;	Uncharacterized protein
B8BQ10	THAPSDRAFT_1118			G-protein coupled receptors family 1 profile domain-containing protein
B8BQ11	THAPSDRAFT_260818	IPR006602;IPR011992;IPR040193;	PF06565;	Rib72-like protein
B8BQ13	THAPSDRAFT_1122	IPR007271;	PF04142;	Uncharacterized protein
B8BQ16	THAPSDRAFT_1125	IPR012901;	PF07942;	Uncharacterized protein
B8BQ17	THAPSDRAFT_20680			Uncharacterized protein
B8BQ18	THAPSDRAFT_20681	IPR038902;IPR022145;	PF12432;	Integrator complex subunit 1 RPB2-binding domain-containing protein
B8BQ19	THAPSDRAFT_20682	IPR050870;		Uncharacterized protein
B8BQ20	THAPSDRAFT_20683	IPR016181;IPR000182;IPR050276;	PF00583;	N-acetyltransferase domain-containing protein
B8BQ21	THAPSDRAFT_1131	IPR032801;	PF13911;	Uncharacterized protein
B8BQ22	THAPSDRAFT_1132	IPR004000;IPR043129;	PF00022;	Actin-like ATPase domain-containing protein
B8BQ23	THAPSDRAFT_39022	IPR051972;IPR022052;IPR015943;IPR036322;IPR001680;	PF12265;PF00400;	WD repeat protein
B8BQ24	THAPSDRAFT_1134	IPR000340;IPR029021;IPR000387;IPR020422;	PF00782;	Dual specificity phosphatase
B8BQ25	THAPSDRAFT_1135	IPR023352;IPR001129;	PF01124;	Uncharacterized protein
B8BQ26	THAPSDRAFT_1136	IPR011990;IPR019734;IPR050498;	PF13181;	Tetratricopeptide repeat protein
B8BQ27	THAPSDRAFT_1137			Uncharacterized protein
B8BQ28	THAPSDRAFT_267963			Uncharacterized protein
B8BQ29	THAPSDRAFT_20686	IPR053074;IPR015007;IPR011993;IPR000156;	PF08911;PF00638;	RanBD1 domain-containing protein
B8BQ30	THAPSDRAFT_1140	IPR031968;	PF16016;	VASt domain-containing protein
B8BQ32	met THAPSDRAFT_14655	IPR015353;IPR036464;IPR001214;IPR046341;IPR044431;IPR050600;	PF09273;PF00856;	Rubisco small subunit small subunit n-methyltransferase
B8BQ33	THAPSDRAFT_20086	IPR012677;IPR035979;IPR000504;IPR050374;IPR034150;	PF00076;	RRM domain-containing protein
B8BQ34	THAPSDRAFT_1145	IPR056971;	PF25017;	C2HC zinc finger plants domain-containing protein
B8BQ36	THAPSDRAFT_20689	IPR005123;IPR006620;IPR019734;		Fe2OG dioxygenase domain-containing protein
B8BQ37	THAPSDRAFT_20690	IPR029058;		AB hydrolase-1 domain-containing protein
B8BQ38	THAPSDRAFT_1149	IPR016177;IPR052587;		MBD domain-containing protein
B8BQ40	THAPSDRAFT_267964	IPR045093;IPR059120;IPR016157;IPR016158;IPR036317;IPR001373;IPR019559;IPR016159;IPR036388;IPR036390;	PF00888;PF26557;PF10557;	Cullin
B8BQ41	THAPSDRAFT_31064	IPR000626;IPR029071;IPR019956;IPR050158;	PF00240;	Ubiquitin-like domain-containing protein
B8BQ42	THAPSDRAFT_20692	IPR016197;IPR008676;IPR038217;IPR026541;IPR053820;	PF05712;PF22732;	Uncharacterized protein
B8BQ45	THAPSDRAFT_1155	IPR045287;		Uncharacterized protein
B8BQ48	THAPSDRAFT_20696	IPR011009;IPR000719;IPR050167;	PF00069;	Protein kinase domain-containing protein
B8BQ49	THAPSDRAFT_1160	IPR044208;IPR046357;IPR001179;	PF00254;	peptidylprolyl isomerase (EC 5.2.1.8)
B8BQ50	THAPSDRAFT_1161	IPR013087;		C2H2-type domain-containing protein
B8BQ52	THAPSDRAFT_16304	IPR011611;IPR002139;IPR011877;IPR029056;	PF00294;	Carbohydrate kinase PfkB domain-containing protein
B8BQ54	THAPSDRAFT_1166	IPR011989;IPR016024;IPR000225;		Uncharacterized protein
B8BQ55	THAPSDRAFT_39038	IPR013785;IPR035587;	PF01207;	DUS-like FMN-binding domain-containing protein
B8BQ56	THAPSDRAFT_13922	IPR002293;	PF13520;	Amino acid transporter
B8BQ57	THAPSDRAFT_31242	IPR029058;IPR023302;IPR001375;IPR002470;IPR051543;	PF00326;PF02897;	Prolyl endopeptidase (EC 3.4.21.-)
B8BQ58	THAPSDRAFT_1170			Uncharacterized protein
B8BQ60	THAPSDRAFT_1172	IPR053259;IPR027417;		Sulfotransferase domain-containing protein
B8BQ61	THAPSDRAFT_1173	IPR000232;IPR036388;IPR036390;	PF00447;	HSF-type DNA-binding domain-containing protein
B8BQ62	THAPSDRAFT_30866			Aspartyl/asparaginy/proline hydroxylase domain-containing protein
B8BQ63	THAPSDRAFT_1175			Myb-like domain-containing protein
B8BQ65	THAPSDRAFT_20702			Uncharacterized protein
B8BQ66	THAPSDRAFT_20703			Uncharacterized protein
B8BQ67	THAPSDRAFT_260835	IPR052956;IPR027372;IPR011044;IPR015943;	PF13449;	Alkaline phosphatase (EC 3.1.3.1)
B8BQ68	THAPSDRAFT_30913	IPR002569;IPR036509;	PF01625;	peptide-methionine (S)-S-oxide reductase (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase)
B8BQ69	THAPSDRAFT_1181	IPR045258;IPR011993;IPR001849;	PF00169;	PH domain-containing protein
B8BQ73	THAPSDRAFT_260841	IPR003097;IPR017927;IPR001094;IPR008254;IPR001709;IPR029039;IPR039261;IPR023173;IPR001433;IPR017938;	PF00667;PF00258;PF00175;	NADPH--hemoprotein reductase (EC 1.6.2.4)
B8BQ75	THAPSDRAFT_1186	IPR051258;IPR000620;IPR037185;	PF00892;	EamA domain-containing protein
B8BQ76	THAPSDRAFT_267971	IPR003409;	PF02493;	Uncharacterized protein
B8BQ77	THAPSDRAFT_260844	IPR011992;IPR018247;IPR002048;	PF13499;	Calcium-binding protein
B8BQ78	THAPSDRAFT_20707	IPR057207;IPR006553;IPR032675;	PF25372;	F-box/LRR-repeat protein 15-like leucin rich repeat domain-containing protein
B8BQ80	THAPSDRAFT_260846	IPR001199;IPR036400;IPR050577;	PF00173;	Steroid binding protein 1
B8BQ81	THAPSDRAFT_1192			Uncharacterized protein
B8BQ83	THAPSDRAFT_1194			Uncharacterized protein
B8BQ84	THAPSDRAFT_1195			Uncharacterized protein
B8BQ85	THAPSDRAFT_1196			Uncharacterized protein
B8BQ86	THAPSDRAFT_1197	IPR037185;		EamA domain-containing protein
B8BQ87	THAPSDRAFT_267973			Uncharacterized protein
B8BQ88	THAPSDRAFT_20710	IPR019538;	PF10508;	Ataxin-10 domain-containing protein
B8BQ90	THAPSDRAFT_1201			Uncharacterized protein
B8BQ91	THAPSDRAFT_1202			Uncharacterized protein
B8BQ92	THAPSDRAFT_1203	IPR011107;	PF07491;	Uncharacterized protein
B8BQ93	THAPSDRAFT_1204			Uncharacterized protein
B8BQ95	THAPSDRAFT_20712			Signal recognition particle SRP54 subunit M-domain domain-containing protein
B8BQ96	KE4 THAPSDRAFT_260850	IPR003689;	PF02535;	KE4,-like protein to histidine-rich membrane protein
B8BQ99	THAPSDRAFT_1210			Uncharacterized protein
B8BQA0	THAPSDRAFT_260852	IPR002822;	PF01969;	LarC family nickel insertion protein
B8BQA2	THAPSDRAFT_20718	IPR019410;IPR029063;	PF10294;	Calmodulin-lysine N-methyltransferase
B8BQA3	THAPSDRAFT_1214	IPR052724;IPR021280;	PF11028;	DUF2723 domain-containing protein
B8BQA4	THAPSDRAFT_1215	IPR045886;IPR035985;		THIF-type NAD/FAD binding fold domain-containing protein
B8BQA5	THAPSDRAFT_1216	IPR039913;		Uncharacterized protein
B8BQA6	THAPSDRAFT_1217	IPR009057;IPR017930;IPR001005;IPR052450;	PF00249;	Uncharacterized protein
B8BQA7	THAPSDRAFT_1218	IPR013057;	PF01490;	Amino acid transporter transmembrane domain-containing protein
B8BQA8	THAPSDRAFT_1219	IPR039633;IPR006843;	PF04755;	Plastid lipid-associated protein/fibrillin conserved domain-containing protein
B8BQB0	THAPSDRAFT_31256	IPR004803;IPR036511;IPR002616;	PF01702;	tRNA-guanosine(34) queuine transglycosylase (EC 2.4.2.64)
B8BQB1	THAPSDRAFT_260856	IPR004000;IPR043129;	PF00022;	Actin, actin related protein
B8BQB3	THAPSDRAFT_1224	IPR011701;IPR036259;	PF07690;	MFS transporter
B8BQB6	THAPSDRAFT_31193	IPR022830;IPR007342;	PF04227;	Pseudouridine-5'-phosphate glycosidase
B8BQB8	THAPSDRAFT_20723	IPR002893;	PF01753;	MYND-type domain-containing protein
B8BQB9	THAPSDRAFT_1230	IPR018957;IPR001841;IPR013083;IPR017907;	PF00097;	RING-type domain-containing protein
B8BQC0	THAPSDRAFT_260861	IPR003593;IPR003959;IPR003960;IPR051701;IPR027417;	PF00004;	Msp1 protein-like protein
B8BQC3	THAPSDRAFT_19421	IPR000569;IPR035983;IPR042469;	PF00632;	HECT domain-containing protein
B8BQC5	THAPSDRAFT_20728	IPR011990;IPR019734;	PF13374;	MalT-like TPR region domain-containing protein
B8BQC7	THAPSDRAFT_1238	IPR052164;IPR029068;IPR004360;IPR037523;	PF00903;	VOC domain-containing protein
B8BQD0	THAPSDRAFT_1241	IPR029063;		Uncharacterized protein
B8BQD1	THAPSDRAFT_20731	IPR023395;IPR018108;IPR050391;	PF00153;	Mitochondrial carrier protein
B8BQD2	THAPSDRAFT_1243	IPR001623;IPR036869;IPR052814;		J domain-containing protein
B8BQD3	THAPSDRAFT_1244			Uncharacterized protein
B8BQD4	THAPSDRAFT_20732	IPR011009;IPR000719;		Protein kinase domain-containing protein
B8BQD5	CYS2 THAPSDRAFT_267987	IPR050214;IPR001926;IPR036052;	PF00291;	Cysteine synthase (EC 2.5.1.47)
B8BQD6	CYS3 THAPSDRAFT_1247	IPR050214;IPR001926;IPR036052;	PF00291;	Cysteine synthase (EC 2.5.1.47)
B8BQD7	THAPSDRAFT_1248	IPR003774;	PF02622;	Uncharacterized protein
B8BQE0	THAPSDRAFT_1252	IPR036514;		SGNH hydrolase-type esterase domain-containing protein
B8BQE1	THAPSDRAFT_39062	IPR029028;IPR051259;IPR001537;IPR029026;	PF00588;	tRNA/rRNA methyltransferase SpoU type domain-containing protein
B8BQE2	THAPSDRAFT_1254	IPR016087;IPR016088;IPR036298;	PF16036;	Chalcone isomerase domain-containing protein
B8BQE5	THAPSDRAFT_260874	IPR011009;IPR015433;IPR000403;IPR036940;IPR018936;	PF00454;	Pi 4-kinase (EC 2.7.1.67)
B8BQE6	THAPSDRAFT_20739			Uncharacterized protein
B8BQE7	THAPSDRAFT_20740			Uncharacterized protein
B8BQE8	THAPSDRAFT_31032	IPR018706;	PF09980;	Uncharacterized protein
B8BQE9	THAPSDRAFT_260875	IPR001279;IPR024884;IPR036866;	PF12706;	Metallo-beta-lactamase domain-containing protein
B8BQF0	THAPSDRAFT_20742			Uncharacterized protein
B8BQF1	THAPSDRAFT_20743			Uncharacterized protein
B8BQF2	THAPSDRAFT_31226	IPR020846;IPR005828;IPR036259;	PF00083;	Transporter
B8BQF3	THAPSDRAFT_20745	IPR025257;IPR039785;	PF13898;	Deubiquitinating enzyme MINDY-3/4 conserved domain-containing protein
B8BQF4	THAPSDRAFT_20746			Uncharacterized protein
B8BQF5	THAPSDRAFT_20747	IPR036915;IPR013922;	PF08613;	Uncharacterized protein
B8BQF6	THAPSDRAFT_1268	IPR019607;	PF10650;	Putative zinc-finger domain-containing protein
B8BQF8	THAPSDRAFT_31047	IPR007109;IPR045112;	PF04427;	Brix domain-containing protein
B8BQF9	THAPSDRAFT_20750			STI1 domain-containing protein
B8BQG0	THAPSDRAFT_20751	IPR053064;IPR003409;	PF02493;	Uncharacterized protein
B8BQG1	THAPSDRAFT_20752			Uncharacterized protein
B8BQG2	THAPSDRAFT_1274			Uncharacterized protein
B8BQG3	THAPSDRAFT_1275			Uncharacterized protein
B8BQG5	THAPSDRAFT_20754	IPR011989;IPR016024;		Uncharacterized protein
B8BQG7	THAPSDRAFT_260879	IPR001356;IPR009057;IPR008422;IPR050224;	PF05920;	Homeobox domain-containing protein
B8BQG8	THAPSDRAFT_260880	IPR001356;IPR009057;IPR008422;IPR050224;	PF05920;	Homeobox domain-containing protein
B8BQG9	THAPSDRAFT_1280			F-box domain-containing protein
B8BQH0	Rad54 THAPSDRAFT_267997	IPR014001;IPR001650;IPR027417;IPR038718;IPR049730;IPR000330;IPR050496;	PF00271;PF00176;	Rad54-like protein
B8BQH1	THAPSDRAFT_31551	IPR004839;IPR050478;IPR015424;IPR015421;IPR015422;	PF00155;	Aminotransferase class I/classII large domain-containing protein
B8BQH2	MTS2_1 THAPSDRAFT_1283	IPR004803;IPR036511;IPR002616;	PF01702;	Methionyl-trna synthetase
B8BQH4	THAPSDRAFT_25918	IPR023614;IPR001925;IPR027246;	PF01459;	Uncharacterized protein
B8BQH5	THAPSDRAFT_31126	IPR023395;IPR018108;	PF00153;	Mitochondrial carrier protein
B8BQH8	THAPSDRAFT_20504	IPR029000;IPR002130;IPR044666;	PF00160;	PPIase cyclophilin-type domain-containing protein
B8BQI0	THAPSDRAFT_1291	IPR021883;	PF11998;	Uncharacterized protein
B8BQI1	THAPSDRAFT_26635	IPR013057;	PF01490;	Amino acid/polyamine transporter
B8BQI7	THAPSDRAFT_15417	IPR003593;IPR050168;IPR003959;IPR003960;IPR027417;	PF00004;	AAA+ ATPase domain-containing protein
B8BQI8	THAPSDRAFT_260891	IPR014906;IPR036285;IPR015943;IPR020472;IPR019775;IPR036322;IPR001680;	PF08799;PF00400;	Small nuclear ribonucleoprotein prp4
B8BQI9	THAPSDRAFT_31011	IPR023395;IPR018108;IPR053042;	PF00153;	Mitochondrial carrier protein
B8BQJ0	THAPSDRAFT_181	IPR001296;IPR013234;	PF00534;PF08288;	N-acetylglucosaminyl-phosphatidylinositol biosynthetic protein
B8BQJ1	THAPSDRAFT_268003			Uncharacterized protein
B8BQJ2	THAPSDRAFT_1302	IPR013078;IPR029033;IPR050275;	PF00300;	Phosphoglycerate mutase
B8BQJ4	THAPSDRAFT_1303	IPR015943;IPR036322;IPR001680;IPR040324;	PF00400;	Uncharacterized protein
B8BQJ6	THAPSDRAFT_1305	IPR025789;IPR029063;	PF08123;	DOT1 domain-containing protein
B8BQJ7	THAPSDRAFT_31515	IPR001878;IPR036875;	PF00098;	CCHC-type domain-containing protein
B8BQJ9	THAPSDRAFT_1308	IPR002110;IPR036770;	PF12796;	Uncharacterized protein
B8BQK0	THAPSDRAFT_1309	IPR005123;IPR045054;IPR006620;IPR044862;IPR037140;	PF13640;	Fe2OG dioxygenase domain-containing protein
B8BQK1	THAPSDRAFT_1310	IPR023209;IPR006076;	PF01266;	FAD dependent oxidoreductase domain-containing protein
B8BQK3	THAPSDRAFT_31402	IPR021562;	PF11460;	Uncharacterized protein
B8BQK4	RPN THAPSDRAFT_260899	IPR006746;IPR033464;IPR000717;	PF10075;	26S proteasome regulatory subunit
B8BQK5	THAPSDRAFT_20768			Fe2OG dioxygenase domain-containing protein
B8BQK7	THAPSDRAFT_1316			Uncharacterized protein
B8BQK9	THAPSDRAFT_20771			Uncharacterized protein
B8BQL1	THAPSDRAFT_20773			Uncharacterized protein
B8BQL3	THAPSDRAFT_1322			Uncharacterized protein
B8BQL4	THAPSDRAFT_15351	IPR000961;IPR011009;IPR000719;IPR017441;IPR008271;IPR045270;	PF00069;	Protein kinase domain-containing protein
B8BQL5	THAPSDRAFT_1324	IPR029526;	PF13843;	PiggyBac transposable element-derived protein domain-containing protein
B8BQL9	THAPSDRAFT_20776			Uncharacterized protein
B8BQM0	THAPSDRAFT_20777	IPR035898;IPR000197;	PF02135;	TAZ-type domain-containing protein
B8BQM5	THAPSDRAFT_31259	IPR005114;	PF03457;	Helicase-associated domain-containing protein
B8BQM6	THAPSDRAFT_20782			Uncharacterized protein
B8BQM7	THAPSDRAFT_20783	IPR036188;IPR023753;IPR051169;	PF07992;	FAD/NAD(P)-binding domain-containing protein
B8BQM8	THAPSDRAFT_1337	IPR015943;IPR036322;IPR001680;	PF00400;	Uncharacterized protein
B8BQM9	THAPSDRAFT_1338			Uncharacterized protein
B8BQN0	THAPSDRAFT_1339			Uncharacterized protein
B8BQN2	THAPSDRAFT_1341	IPR005114;	PF03457;	Helicase-associated domain-containing protein
B8BQN3	THAPSDRAFT_15819	IPR000286;IPR023801;IPR037138;IPR023696;	PF00850;	histone deacetylase (EC 3.5.1.98)
B8BQN4	THAPSDRAFT_20786	IPR014044;IPR035940;IPR001283;	PF00188;	SCP domain-containing protein
B8BQN5	THAPSDRAFT_1344	IPR014044;IPR035940;IPR001283;	PF00188;	SCP domain-containing protein
B8BQN7	THAPSDRAFT_39110	IPR005129;IPR027417;	PF03308;	Uncharacterized protein
B8BQN9	THAPSDRAFT_260914	IPR020846;IPR005828;IPR036259;IPR005829;	PF00083;	Transporter belonging to the MFS superfamily
B8BQP0	THAPSDRAFT_20791	IPR015655;IPR036457;IPR001932;	PF00481;	PPM-type phosphatase domain-containing protein
B8BQP2	THAPSDRAFT_20792	IPR000048;	PF00612;	Uncharacterized protein
B8BQP3	THAPSDRAFT_260917	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;	PF00233;	3',5'-cyclic nucleotide phosphodiesterase (EC 3.1.4.17)
B8BQP4	THAPSDRAFT_1353			Uncharacterized protein
B8BQP5	THAPSDRAFT_1354	IPR032675;IPR051279;		Uncharacterized protein
B8BQP6	THAPSDRAFT_1355			Uncharacterized protein
B8BQP7	THAPSDRAFT_1356	IPR007110;		Ig-like domain-containing protein
B8BQP8	THAPSDRAFT_1357	IPR046357;IPR001179;	PF00254;	peptidylprolyl isomerase (EC 5.2.1.8)
B8BQP9	THAPSDRAFT_20793			Uncharacterized protein
B8BQQ0	THAPSDRAFT_20794			Uncharacterized protein
B8BQQ1	THAPSDRAFT_20795	IPR014044;IPR035940;IPR001283;	PF00188;	SCP domain-containing protein
B8BQQ3	THAPSDRAFT_20797	IPR025714;IPR013216;IPR050508;IPR029063;	PF08241;PF13847;	Methyltransferase type 11 domain-containing protein
B8BQQ6	THAPSDRAFT_1365			Integrase zinc-binding domain-containing protein
B8BQQ8	THAPSDRAFT_1367	IPR001910;IPR036452;IPR011990;IPR019734;	PF01156;PF13374;PF13424;	Inosine/uridine-preferring nucleoside hydrolase domain-containing protein
B8BQQ9	THAPSDRAFT_20800	IPR027073;IPR004859;	PF03159;	Xrn1 N-terminal domain-containing protein
B8BQR0	THAPSDRAFT_31380	IPR027450;IPR037151;IPR032870;	PF13532;	Alpha-ketoglutarate-dependent dioxygenase AlkB-like domain-containing protein
B8BQR5	THAPSDRAFT_1372	IPR001202;		WW domain-containing protein
B8BQR6	THAPSDRAFT_1373			Uncharacterized protein
B8BQR7	THAPSDRAFT_1374	IPR012677;IPR035979;IPR000504;	PF00076;	RRM domain-containing protein
B8BQR9	THAPSDRAFT_1376	IPR021467;	PF11317;	Uncharacterized protein
